Wban Number, YearMonthDay, Max Temp, Min Temp, Avg Temp, Dep from Normal, Avg Dew Pt, Avg Wet Bulb, Heating Degree Days, Cooling Degree Days, Significant Weather, Snow/Ice Depth, Snow/Ice Water Equiv, Precipitation Snowfall, Precipitation Water Equiv, Pressue Avg Station, Pressure Avg Sea Level, Wind Speed, Wind Direction, Wind Avg Speed, Max 5 sec speed, Max 5 sec Dir, Max 2 min speed, Max 2 min Dir
03013,20001201,45,16,  31 ,  31, 17, 25, 34,  0,-,M  ,-,M   , 0.00,26.51,30.46,  2.7,1, 8.1, 18,35, 15,1
03013,20001202,34,13,  24 ,  24, 16, 21, 41,  0,-,M  ,-,M   , 0.00,26.51,30.49,  9.9,11,11.2, 26,12, 23,12
03013,20001203,45,9,  27 ,  27, 16, 21, 38,  0,-,M  ,-,M   , 0.00,26.31,30.26,  3.2,22, 4.5, 12,31, 10,29
03013,20001204,50,11,  31 ,  31, 17, 25, 34,  0,-,M  ,-,M   , 0.00,26.50,30.46,  1.0,10, 6.4, 21,5, 18,5
03013,20001205,51,19,  35 ,  35, 22, 29, 30,  0,FG ,M  ,-,M   , 0.02,26.30,30.20,  3.8,1, 8.6, 31,3, 25,3
03013,20001206,47,18,  33 ,  33, 19, 26, 32,  0,-,M  ,-,M   , 0.00,26.37,30.29,  9.5,27,10.6, 22,27, 20,29
03013,20001207,53,21,  37 ,  37, 24, 31, 28,  0,-,M  ,-,M   , 0.00,26.14,30.01,  4.4,26, 5.8, 18,25, 17,25
03013,20001208,48,22,  35 ,  35, 24, 29, 30,  0,-,M  ,-,M   , 0.00,26.24,30.12,  9.9,16,10.6, 30,16, 24,17
03013,20001209,57,19,  38 ,  38, 24, 32, 27,  0,-,M  ,-,M   , 0.00,26.01,29.87,  2.9,21, 5.8, 15,21, 14,21
03013,20001210,39,11,  25 ,  25, 17, 19, 40,  0,FZRA SN FG FZFG ,M  ,-,M   ,  T  ,26.11,30.02,  7.5,7, 9.9, 29,3, 24,4
03013,20001211,14,-3,   6*,   6,  1,  6, 59,  0,SN FG ,M  ,-,M   , 0.01,26.34,30.39,  3.5,36, 8.0, 23,35, 17,36
03013,20001212,35,6,  21 ,  21, 13, 18, 44,  0,-,M  ,-,M   , 0.00,26.13,30.09, 11.4,15,13.0, 30,15, 24,16
03013,20001213,26,3,  15 ,  15, 10, 14, 50,  0,-,M  ,-,M   , 0.00,26.11,30.05,  2.2,3, 5.6, 17,4, 16,4
03013,20001214,38,7,  23 ,  23, 16, 20, 42,  0,FG HZ ,M  ,-,M   , 0.00,26.19,30.14,  0.5,12, 5.1, 18,23, 16,23
03013,20001215,52,17,  35 ,  35, 21, 29, 30,  0,-,M  ,-,M   , 0.00,25.94,29.80,  5.3,28, 9.2, 40,3, 31,3
03013,20001216,36,7,  22 ,  22,  5, 19, 43,  0,-,M  ,-,M   , 0.00,26.33,30.25,  7.7,2,12.5, 39,36, 32,36
03013,20001217,60*,7,  34 ,  34, 12, 24, 31,  0,HZ ,M  ,-,M   , 0.00,26.08,29.99,  7.3,35,10.0, 59,36, 49,36
03013,20001218,M,M,M    ,M   ,-,-,M  ,M  ,HZ ,M  ,-,M   , 0.00,26.43,-, 16.4,34,19.0, 46,32, 41,33
03013,20001219,M,M,M    ,M   ,-,-,M  ,M  ,FG HZ ,M  ,-,M   , 0.00,26.20,-,  1.6,25, 5.1, 14,26, 12,26
03013,20001220,40,7,  24 ,  24, 12, 22, 41,  0,-,M  ,-,M   ,  T  ,26.12,30.01,  4.1,35, 9.1, 35,3, 31,3
03013,20001221,37,1,  19 ,  19,  6, 14, 46,  0,-,M  ,-,M   , 0.00,26.34,30.34,  2.2,14, 4.6, 15,20, 12,20
03013,20001222,54,8,  31 ,  31, 13, 22, 34,  0,-,M  ,-,M   , 0.00,26.09,30.01,  1.6,27, 5.3, 16,7, 14,26
